date_time,open,high,low,close,CCI
2017-01-23 10:15,23040.51,23068.08,22921.14,22923.05,12.79129045266084
2017-01-23 11:15,22923.33,22926.15,22862.7,22898.96,-49.92754500658387
2017-01-23 12:15,22904.85,22924.85,22892.23,22911.27,-44.415106763535356
2017-01-23 13:15,22910.86,22910.86,22870.4,22882.38,-66.83879265363336
2017-01-23 14:15,22884.75,22896.89,22861.29,22887.04,-76.85744701301996
2017-01-23 15:15,22888.24,22920.92,22878.1,22898.52,-65.62541954957665
2017-01-24 09:15,22965.25,22985.84,22907.78,22963.13,-21.01827187400422
2017-01-24 10:15,22963.02,22979.82,22937.98,22966.06,-16.62452230386856
2017-01-24 11:15,22967.73,22981.88,22958.14,22969.38,-6.532821950192303
2017-01-24 12:15,22970.29,22985.54,22964.42,22977.44,4.399716558667006
2017-01-24 13:15,22975.18,22986.45,22934.0,22941.34,-16.118828333720106
2017-01-24 14:15,22941.51,22973.15,22929.93,22952.36,-13.282951036238826
2017-01-24 15:15,22952.84,22959.43,22917.44,22949.86,-20.69589017592151
2017-01-25 09:15,23066.4,23066.4,22996.69,23031.27,125.51780364898129
2017-01-25 10:15,23032.09,23043.0,22963.46,22990.5,85.38532835342914
2017-01-25 11:15,22990.5,23010.86,22985.72,22989.62,85.19112140424383
2017-01-25 12:15,22990.84,23001.23,22973.16,22977.65,65.55634919254722
2017-01-25 13:15,22975.48,22999.41,22961.38,22992.81,64.56132259561996
2017-01-25 14:15,22991.89,23032.76,22984.85,23016.92,104.9368465487029
2017-01-25 15:15,23020.27,23057.43,23009.01,23049.12,140.22815553830438
2017-01-26 09:15,23173.46,23362.61,23145.31,23336.19,417.3868219434424
2017-01-26 10:15,23335.33,23365.74,23314.33,23361.2,394.64420211166265
2017-01-26 11:15,23354.8,23365.01,23331.76,23365.01,313.13105398002796
2017-01-26 12:15,23352.91,23371.8,23346.86,23371.8,256.57795030867396
2017-01-26 13:15,23368.08,23380.53,23337.27,23380.21,210.39950985527076
2017-01-26 14:15,23377.6,23380.14,23332.48,23353.7,172.08769241339644
2017-01-26 15:15,23355.51,23386.41,23338.78,23374.17,151.8431657972537
2017-01-27 09:15,23339.15,23367.39,23307.05,23342.49,121.64934394595376
2017-01-27 10:15,23338.29,23394.58,23331.56,23377.48,118.86601638252006
2017-01-27 11:15,23377.48,23397.09,23360.78,23360.78,108.24964019008382
2017-02-01 09:15,23211.88,23220.06,23082.62,23138.75,19.571416640641488
2017-02-01 10:15,23140.73,23157.75,23114.61,23145.93,13.775243457409884
2017-02-01 11:15,23142.61,23205.17,23135.22,23195.23,26.036844627434483
2017-02-01 12:15,23200.33,23206.7,23184.73,23206.7,30.940725140066384
2017-02-01 13:15,23205.92,23211.6,23157.08,23191.01,22.368521230528074
2017-02-01 14:15,23187.88,23289.34,23182.83,23264.11,43.690680253545665
2017-02-01 15:15,23264.11,23318.39,23248.15,23318.39,60.96751110676781
2017-02-02 09:15,23309.46,23439.02,23233.82,23240.55,61.05896393476173
2017-02-02 10:15,23240.12,23253.8,23181.06,23193.51,15.550563060049946
2017-02-02 11:15,23191.67,23207.39,23156.1,23170.7,-2.425769820244141
2017-02-02 12:15,23175.94,23180.63,23152.57,23155.05,-14.174759081222886
2017-02-02 13:15,23155.6,23173.15,23131.37,23164.91,-22.18558881219738
2017-02-02 14:15,23164.67,23182.29,23154.53,23159.83,-22.618721451978402
2017-02-02 15:15,23157.48,23186.6,23150.49,23184.52,-21.358745696598703
2017-02-03 09:15,23216.97,23226.92,23036.66,23065.62,-64.56058318450397
2017-02-03 10:15,23064.69,23071.02,22997.46,23016.58,-117.35474387906889
2017-02-03 11:15,23017.38,23092.1,23013.99,23072.64,-101.28353795505862
2017-02-03 12:15,23072.67,23081.35,23052.65,23068.71,-100.23720858338709
2017-02-03 13:15,23071.76,23144.39,23063.8,23132.94,-74.1283877136523
2017-02-03 14:15,23132.29,23138.53,23080.13,23092.69,-83.99921365033708
2017-02-03 15:15,23092.69,23146.9,23078.53,23129.21,-69.77410657185341
2017-02-06 09:15,23239.29,23294.08,23149.7,23229.71,6.852517956518706
2017-02-06 10:15,23229.26,23321.68,23219.91,23288.82,48.442668148265106
2017-02-06 11:15,23288.21,23304.21,23261.47,23272.88,54.67430843511415
2017-02-06 12:15,23275.04,23283.02,23266.56,23276.81,56.12769008912108
2017-02-06 13:15,23277.07,23283.51,23233.68,23267.02,49.356870196451325
2017-02-06 14:15,23273.53,23299.79,23267.46,23292.21,75.97373713265536
2017-02-06 15:15,23293.24,23348.24,23284.99,23348.24,113.09698387142308
2017-02-07 09:15,23287.89,23403.6,23256.69,23353.32,125.46148993964506
2017-02-07 10:15,23352.32,23365.86,23314.45,23333.82,128.8575511644882
2017-02-07 11:15,23334.99,23334.99,23290.46,23310.59,96.59822880725379
2017-02-07 12:15,23313.62,23344.63,23307.09,23336.8,103.65986665072316
2017-02-07 13:15,23336.8,23350.0,23302.47,23340.26,96.723757912314
2017-02-07 14:15,23341.58,23364.24,23321.69,23329.8,95.3413200227074
2017-02-07 15:15,23328.97,23342.28,23311.55,23331.57,81.56636878050452
2017-02-08 09:15,23284.76,23300.36,23160.99,23196.48,-3.5341140467742824
2017-02-08 10:15,23198.72,23281.29,23193.67,23281.29,23.88358659682406
2017-02-08 11:15,23282.23,23329.16,23280.97,23310.29,67.67654576769657
2017-02-08 12:15,23315.54,23321.33,23303.4,23314.54,68.12460563335637
2017-02-08 13:15,23320.63,23463.61,23314.79,23442.2,130.18010141634196
2017-02-08 14:15,23438.33,23520.77,23419.37,23497.89,169.55589598294677
2017-02-08 15:15,23493.34,23515.98,23476.78,23485.13,166.39711573494222
2017-02-09 09:15,23533.52,23615.04,23491.4,23615.04,204.1204016661048
2017-02-09 10:15,23614.42,23644.63,23506.58,23565.54,185.9996213191434
2017-02-09 11:15,23565.55,23601.13,23551.15,23575.91,173.92197091048706
2017-02-09 12:15,23578.74,23587.52,23559.63,23569.66,162.06020712920701
2017-02-09 13:15,23571.0,23579.85,23489.65,23515.89,125.46162455478371
2017-02-09 14:15,23513.16,23566.25,23505.47,23556.4,120.71517839312703
2017-02-09 15:15,23558.66,23561.55,23501.32,23525.14,101.17953862390202
2017-02-10 09:15,23645.9,23718.47,23614.95,23659.7,161.66374982839162
2017-02-10 10:15,23659.34,23682.21,23629.21,23653.37,141.2843543991158
2017-02-10 11:15,23653.57,23679.69,23640.13,23655.28,129.67628522277207
2017-02-10 12:15,23657.33,23667.77,23645.07,23661.02,117.76582197329292
2017-02-10 13:15,23659.04,23686.28,23654.41,23663.52,112.8066671616876
2017-02-10 14:15,23667.77,23680.21,23619.33,23630.68,93.72192550816952
2017-02-10 15:15,23635.15,23639.04,23573.85,23574.98,66.35930172991989
2017-02-13 09:15,23664.53,23681.92,23615.39,23642.34,86.16286959403915
2017-02-13 10:15,23639.7,23733.81,23635.1,23733.15,106.37545063162555
2017-02-13 11:15,23733.96,23751.92,23689.71,23694.8,105.48369516099852
2017-02-13 12:15,23695.18,23710.59,23685.37,23699.85,93.61785947770827
2017-02-13 13:15,23699.32,23709.35,23638.79,23654.16,74.76475328904858
2017-02-13 14:15,23654.16,23704.18,23643.49,23695.71,78.42500764224073
2017-02-13 15:15,23692.56,23710.98,23677.34,23710.98,84.69739512623684
2017-02-14 09:15,23695.29,23713.69,23614.47,23656.86,60.75366152403959
2017-02-14 10:15,23656.13,23731.63,23648.26,23714.52,79.58880219152378
2017-02-14 11:15,23714.16,23735.11,23701.32,23712.17,88.86891602965258
2017-02-14 12:15,23713.38,23730.95,23706.32,23715.98,87.85458800538815
2017-02-14 13:15,23713.82,23721.64,23656.27,23693.44,64.48294357092932
2017-02-14 14:15,23692.71,23712.01,23676.35,23693.86,65.77231187445219
2017-02-14 15:15,23691.56,23721.46,23689.61,23703.01,75.31529448800943
2017-02-15 09:15,23771.95,23968.67,23771.95,23966.2,284.3269636180517
2017-02-15 10:15,23964.6,23979.13,23908.08,23963.48,311.74809997082616
2017-02-15 11:15,23963.78,24009.33,23963.05,24002.57,300.0554213574117
2017-02-15 12:15,23995.36,24055.74,23991.51,24050.05,285.388175520903
2017-02-15 13:15,24050.71,24067.62,24015.02,24049.18,241.40435180209263
2017-02-15 14:15,24046.93,24049.71,23937.71,23952.2,164.39688924646518
2017-02-15 15:15,23948.8,24036.56,23946.8,23994.87,147.5303525917173
2017-02-16 09:15,24139.31,24161.39,23969.57,24026.08,156.29775616350568
2017-02-16 10:15,24028.56,24106.32,24025.4,24070.84,143.51001022304143
2017-02-16 11:15,24070.84,24092.26,24049.58,24092.26,131.26449236104267
2017-02-16 12:15,24087.19,24091.7,24067.16,24074.07,117.55108990758352
2017-02-16 13:15,24072.59,24137.83,24070.08,24105.86,116.56393128350871
2017-02-16 14:15,24105.13,24121.21,24082.66,24105.71,105.98031408891453
2017-02-16 15:15,24106.86,24115.44,24078.6,24107.7,96.80192594081717
2017-02-17 09:15,24077.87,24106.34,24000.39,24061.91,74.54104383918441
2017-02-17 10:15,24062.69,24094.68,23985.5,23998.38,59.07088520112781
2017-02-17 11:15,23998.38,24021.42,23967.88,24011.26,45.651020499968595
2017-02-17 12:15,24008.48,24014.45,23975.23,23981.89,38.974245572717734
2017-02-17 13:15,23982.28,24000.98,23944.68,23988.61,31.237893083926796
2017-02-17 14:15,23989.91,24036.23,23981.93,24005.17,41.20114405170392
2017-02-17 15:15,24005.36,24037.11,23990.79,24033.74,44.22573188710702
2017-02-20 09:15,24066.0,24186.37,24022.15,24169.33,92.13768315761156
2017-02-20 10:15,24172.75,24202.34,24084.24,24119.46,95.29243406287438
2017-02-20 11:15,24119.46,24131.63,24099.53,24111.85,83.83189045805608
2017-02-20 12:15,24114.69,24128.13,24104.96,24121.24,86.01548277968722
2017-02-20 13:15,24121.04,24181.78,24100.48,24178.17,108.45838148024592
2017-02-20 14:15,24180.6,24197.45,24157.86,24182.03,125.06900394622922
2017-02-20 15:15,24181.82,24188.94,24129.66,24146.08,105.97648859993014
2017-02-21 09:15,24174.11,24213.64,24142.81,24179.42,125.95738918386142
2017-02-21 10:15,24180.38,24201.13,24146.28,24164.09,117.15689565798893
2017-02-21 11:15,24164.45,24185.76,24150.16,24181.31,113.15028088310078
2017-02-21 12:15,24134.83,24134.83,24076.81,24099.31,31.775460096381906
2017-02-21 13:15,24097.66,24104.01,24024.52,24081.57,-11.994748694844949
2017-02-21 14:15,24083.41,24085.75,23980.96,23990.86,-74.42446655956704
2017-02-21 15:15,23987.79,23998.89,23909.15,23963.63,-140.13560839790316
2017-02-22 09:15,24059.09,24161.25,23999.55,24160.5,32.63954452832707
2017-02-22 10:15,24160.86,24186.03,24130.33,24148.19,85.9572051126197
2017-02-22 11:15,24148.45,24171.53,24137.18,24161.21,82.65755768226617
2017-02-22 12:15,24166.67,24191.35,24152.77,24180.75,98.23067068316597
2017-02-22 13:15,24186.23,24192.15,24124.1,24160.96,74.63289692169232
2017-02-22 14:15,24162.03,24186.62,24142.28,24179.26,81.97242636866493
2017-02-22 15:15,24175.67,24201.96,24157.85,24201.96,96.32933270786393
2017-02-23 09:15,24122.18,24216.53,24080.96,24085.65,28.23094405099324
2017-02-23 10:15,24084.14,24137.89,24046.91,24097.7,-8.803223665781333
2017-02-23 11:15,24100.74,24102.29,24069.52,24086.65,-19.183616228126844
2017-02-23 12:15,24080.73,24115.26,24072.22,24105.44,-9.344966901289842
2017-02-23 13:15,24104.89,24151.79,24078.7,24100.01,1.2901426927802646
2017-02-23 14:15,24102.05,24125.85,24089.84,24122.14,-0.8798728611661422
2017-02-23 15:15,24114.93,24142.04,24100.72,24114.86,2.0078208583527446
2017-02-24 09:15,24115.61,24121.91,23996.38,24030.1,-114.47378362556336
2017-02-24 10:15,24027.23,24060.22,23958.13,24017.71,-174.09771481575152
2017-02-24 11:15,24017.57,24041.37,23998.43,24031.23,-139.02645115119444
2017-02-24 12:15,24024.61,24037.97,24009.58,24022.34,-126.4120912742577
2017-02-24 13:15,24021.44,24030.93,23982.69,24012.9,-131.58081422356597
2017-02-24 14:15,24014.12,24025.42,23980.3,23986.75,-131.31579288681795
2017-02-24 15:15,23987.42,24009.06,23965.7,23965.7,-137.35228290752073
2017-02-27 09:15,23941.81,23991.6,23822.88,23991.6,-168.11041886153885
2017-02-27 10:15,23988.82,24067.68,23957.99,24034.84,-70.39470008474035
2017-02-27 11:15,24023.09,24030.65,23950.88,23984.7,-95.71550072055646
2017-02-27 12:15,23971.46,23979.78,23929.73,23946.61,-123.36517444176316
2017-02-27 13:15,23942.51,23944.83,23857.18,23880.43,-165.4084459479903
2017-02-27 14:15,23879.22,23907.27,23853.17,23907.27,-153.22088944037475
2017-02-27 15:15,23899.36,23943.46,23894.24,23925.05,-113.7325647608364
2017-02-28 09:15,23952.64,24007.81,23889.94,23906.86,-95.66951318325253
2017-02-28 10:15,23907.19,23932.06,23864.71,23932.06,-113.38226102217256
2017-02-28 11:15,23931.85,23939.73,23899.11,23910.5,-100.10439402127605
2017-02-28 12:15,23908.61,23922.42,23894.61,23904.67,-101.48288340186325
2017-02-28 13:15,23902.71,23929.94,23810.61,23814.59,-138.3113164362855
2017-02-28 14:15,23815.61,23835.78,23746.14,23773.09,-177.59090897066392
2017-02-28 15:15,23773.09,23785.09,23740.73,23740.73,-182.54406287618082
2017-03-01 09:15,23849.22,23857.28,23730.05,23777.94,-145.33805716488993
2017-03-01 10:15,23779.27,23827.36,23752.69,23773.93,-137.3293228039986
